text,label,cleaned_text
pay to have a rank,0,pay to have a rank
"Apart from some abuse from less intelligent individuals, if you got a thick skin and can handle ""child like"" intolerant bs then this is the proper team focused game. Ignore, play together and enjoy.",1,apart from some abuse from less intelligent individuals if you got a thick skin and can handle child like intolerant bs then this is the proper team focused game. ignore play together and enjoy.
fix your anti cheat,0,fix your anti cheat
"yeah it's counter-strike, too.",1,yeah it's counterstrike too.
"I have play many hours in this game, trying to enjoy games with my friends. We went on a losing streak, which happens, but I uninstalled the game out of frustration. I decided to reinstall to give it another chance and I got trolling teammates so I left a game. After getting de-ranked and a 30 minute cooldown for abandoning a match, I accidentally shot a teammate in the head ONCE while trying to get a kill and I got a 2 hour cooldown for matchmaking. I cant enjoy this game anymore with friends because toxic community and over-reactive punishments for cheaters has ruined it. Fix your cheating players so you wont have to punish innocent players so much.",0,i have play many hours in this game trying to enjoy games with my friends. we went on a losing streak which happens but i uninstalled the game out of frustration. i decided to reinstall to give it another chance and i got trolling teammates so i left a game. after getting deranked and a 30 minute cooldown for abandoning a match i accidentally shot a teammate in the head once while trying to get a kill and i got a 2 hour cooldown for matchmaking. i cant enjoy this game anymore with friends because toxic community and overreactive punishments for cheaters has ruined it. fix your cheating players so you wont have to punish innocent players so much.
"its very good game but game instantly rage bate you and you can t stop playing
",1,its very good game but game instantly rage bate you and you can t stop playing
this game sucks right now its boring and the cheaters makes it unplayable. I cant say if csgo is better since I've never played that game much I can for sure say that I had much more fun playing cs 1.6 like an actual game instead of playing it like I'm tyring to be the greatest 6/10,1,this game sucks right now its boring and the cheaters makes it unplayable. i cant say if csgo is better since i've never played that game much i can for sure say that i had much more fun playing cs 1.6 like an actual game instead of playing it like i'm tyring to be the greatest 610
fauking dhog ♥♥♥♥ game full of cheaters. Fauking dogs got millions of dollars and still cant fix that ♥♥♥♥. fuaking ♥♥♥♥ eaters,0,fauking dhog  game full of cheaters. fauking dogs got millions of dollars and still cant fix that . fuaking  eaters
"Good game, easy to get ragebaited. Fun with friends. Just dont go pro",1,good game easy to get ragebaited. fun with friends. just dont go pro
"The game itself is passable, but its not the game I paid money for that Valve unilaterally decided to replace instead of making a proper sequel. The game has less features, a different art style, worse technical performance on computers that could easily run CS:GO and more of an emphasis on monetization that betrays the spirit of the original game. Also even though its technically a different game, it still uses years of positive reviews from CS:GO.",0,the game itself is passable but its not the game i paid money for that valve unilaterally decided to replace instead of making a proper sequel. the game has less features a different art style worse technical performance on computers that could easily run csgo and more of an emphasis on monetization that betrays the spirit of the original game. also even though its technically a different game it still uses years of positive reviews from csgo.
"It's impossible to play this garbage, every other time you encounter players with the ability to see through walls. The game has turned into a soulless machine for earning skins with a huge pile of AI bots in different modes and endless cheaters, on whom the anti-cheat still doesn't work. Don't waste your time and nerves on this terrible creation from VALVE. They add a bunch of updates every week, but they still can't add an anti-cheat. I DO NOT RECOMMEND.",0,it's impossible to play this garbage every other time you encounter players with the ability to see through walls. the game has turned into a soulless machine for earning skins with a huge pile of ai bots in different modes and endless cheaters on whom the anticheat still doesn't work. don't waste your time and nerves on this terrible creation from valve. they add a bunch of updates every week but they still can't add an anticheat. i do not recommend.
"Great game, they need to do something about the hackers!!!",1,great game they need to do something about the hackers!!!
best ♥♥♥♥ of my life,1,best  of my life
"full of hacks , valve not tolerating this problem at all",0,full of hacks  valve not tolerating this problem at all
"dont play until you get cheats, nonprime and i still get cheaters, actual prime alt acc. 5 times more cheaters",0,dont play until you get cheats nonprime and i still get cheaters actual prime alt acc. 5 times more cheaters
honestly fun game just buy prime tho,1,honestly fun game just buy prime tho
This is a great classic FPS game.,1,this is a great classic fps game.
This is the best game on steam!,1,this is the best game on steam!
this game is full of cheaters and valve do nothing to fix this issue.,0,this game is full of cheaters and valve do nothing to fix this issue.
"s*** GAME I AM 5K AND I GET NEW ACCS ON MY TEAM BUT I VS HACKS f*** YOU CS2
 I WANT CSGO
",0,"s game i am 5k and i get new accs on my team but i vs hacks f you cs2
 i want csgo"
"If u gonna play it, play faceit because competitive and premier is unplayable from cheaters.",1,if u gonna play it play faceit because competitive and premier is unplayable from cheaters.
cases are a scam like wdym i can buy a 30 cent case but i need to buy a 2 eur key,1,cases are a scam like wdym i can buy a 30 cent case but i need to buy a 2 eur key
Very good damn game,1,very good damn game
The amount of cheaters is INSANE! Yet noone does anything to reduce it. Amazing. Oh yeah and reporting does not do anything. Or at least no feedback as it was in CSGO. At least that worked in that game.,0,the amount of cheaters is insane! yet noone does anything to reduce it. amazing. oh yeah and reporting does not do anything. or at least no feedback as it was in csgo. at least that worked in that game.
I love it . that's a nice game,1,i love it . that's a nice game
"CS:GO Era perfeito, mas a valve teve que alimentar a nutellagem dessa nova geração e fazer o pior Counter-Strike que já existiu, o CS:GO era responsivo, fluído e tinha um anticheat decente, agora o matchmaking do cs2 virou praticamente HvH e a Valve não faz nada. NÃO COMPRE PRIME, VOCE VAI JOGAR DINHEIRO FORA! jogue faceit ou gc.

CS 2 É HORRIVEL! REMOVERAM O BHOP, DEIXARAM O JOGO PESADO E ""REALISTA""
NÃO TEM PORQUE UM JOGO COMPETITIVO SER ""REALISTA"" E COM BRILHO QUE ASSUSTA ATÉ QUEM USA DISCORD NO TEMA BRANCO.

TODA PARTIDA TEM CHEATADO, NÃO TEM EXCEÇÃO, TODAS TEM CHEATERS NO MODO PREMIER! 
(ainda mais no top 30k)

Eu sinto saudades do CS:GO, eu jogava a 30 fps em 800x600 e afirmo que o input lag era melhor do que jogar a 200fps em 1280x960.
(EU JOGAVA A 30 FPS NUM PENTIUM DUAL CORE GUYS, AGORA NEM O MEU RYZEN 5 4500 E MINHA GTX 1050 TI RODA ESSE JOGO DE FORMA SUAVE, E MESMO SE RODASSE, OS SERVIDORES DA VALVE SÃO UM LIXO! EU QUERO O TICKRATE DE VOLTA PORRAAAAAA",0,"csgo era perfeito mas a valve teve que alimentar a nutellagem dessa nova gerao e fazer o pior counterstrike que j existiu o csgo era responsivo fludo e tinha um anticheat decente agora o matchmaking do cs2 virou praticamente hvh e a valve no faz nada. no compre prime voce vai jogar dinheiro fora! jogue faceit ou gc.

cs 2  horrivel! removeram o bhop deixaram o jogo pesado e realista
no tem porque um jogo competitivo ser realista e com brilho que assusta at quem usa discord no tema branco.

toda partida tem cheatado no tem exceo todas tem cheaters no modo premier! 
ainda mais no top 30k

eu sinto saudades do csgo eu jogava a 30 fps em 800x600 e afirmo que o input lag era melhor do que jogar a 200fps em 1280x960.
eu jogava a 30 fps num pentium dual core guys agora nem o meu ryzen 5 4500 e minha gtx 1050 ti roda esse jogo de forma suave e mesmo se rodasse os servidores da valve so um lixo! eu quero o tickrate de volta porraaaaaa"
"It's full of cheaters,i'm fed up",0,it's full of cheatersi'm fed up
Amazing game no words can say how good it was mdae,1,amazing game no words can say how good it was mdae
this the best game,1,this the best game
cheto de lleno de chiters,1,cheto de lleno de chiters
"Title: Solid evolution of a classic shooter

After playing for more than 280 hours, I can safely say that Counter-Strike 2 is a worthy successor to CS:GO. The transition to the Source 2 engine has brought stunning visual upgrades, especially with the dynamic smoke physics and improved lighting that completely change the tactical landscape.

From a technical standpoint, the sub-tick system has become much more stable with recent updates, offering a smoother experience. While it requires a bit more from your hardware than the previous version, the optimization is constantly improving. Whether you are here for the competitive grind or just to ""Rush B"" with friends, the core gameplay remains as addictive as ever. Highly recommended for anyone who loves strategic, high-stakes shooters!",1,"title solid evolution of a classic shooter

after playing for more than 280 hours i can safely say that counterstrike 2 is a worthy successor to csgo. the transition to the source 2 engine has brought stunning visual upgrades especially with the dynamic smoke physics and improved lighting that completely change the tactical landscape.

from a technical standpoint the subtick system has become much more stable with recent updates offering a smoother experience. while it requires a bit more from your hardware than the previous version the optimization is constantly improving. whether you are here for the competitive grind or just to rush b with friends the core gameplay remains as addictive as ever. highly recommended for anyone who loves strategic highstakes shooters!"
"How is it that after 3 years , your game is even worse cheater wise than in the start? When at the start it was already pretty bad. Is VAC Live even real ?

https://i.imgur.com/TxryGMZ.png - Proof Valve Doesn't Give A ♥♥♥♥
(IEM COLOGNE MAJOR 2026 STREAM WITH 2025 BLAST MAJOR BANNER)",0,"how is it that after 3 years  your game is even worse cheater wise than in the start? when at the start it was already pretty bad. is vac live even real ?

httpsi.imgur.comtxrygmz.png  proof valve doesn't give a 
iem cologne major 2026 stream with 2025 blast major banner"
"I like it, it's fun.",1,i like it it's fun.
"Game was dead ten years ago when they changed all the maps and implemented automated admins that get you banned for being reported by people who don't like you beating them (and they are cheaters). VAC is worthless, game is full of cheaters. Then they made the game free. Do not take Counter-Strike 2 serious, this is not 1.6, source or Global Offensive, just a terrible game, sold all the skins and crates and bought worthwhile games off-steam. Thanks Steam for ruining another game.",0,game was dead ten years ago when they changed all the maps and implemented automated admins that get you banned for being reported by people who don't like you beating them and they are cheaters. vac is worthless game is full of cheaters. then they made the game free. do not take counterstrike 2 serious this is not 1.6 source or global offensive just a terrible game sold all the skins and crates and bought worthwhile games offsteam. thanks steam for ruining another game.
MAKE NA GREAT AGAIN,1,make na great again
"good fun not pay to win
",1,good fun not pay to win
A shadow of its former self.,0,a shadow of its former self.
a zoo of social lab monkeys,1,a zoo of social lab monkeys
if there was no russian and turkish people...it would be the best game,1,if there was no russian and turkish people...it would be the best game
"Really good game but if you meet Russians your are cooked guy by toxicity
",1,really good game but if you meet russians your are cooked guy by toxicity
"I lost my wife and my two kids because I was allegedly neglecting them because I was spending too much time on this game but oh well at least I still have what matters which is cs2. This game is capable of making you feel better than you ever felt and the worst you ever felt, this game is capabale of giving you a complete mental breakdown as much as make you scream at the top of your lungs in joy after clutching. 
If you're a gambling addict this game is for you
10/10 would recommend.",1,"i lost my wife and my two kids because i was allegedly neglecting them because i was spending too much time on this game but oh well at least i still have what matters which is cs2. this game is capable of making you feel better than you ever felt and the worst you ever felt this game is capabale of giving you a complete mental breakdown as much as make you scream at the top of your lungs in joy after clutching. 
if you're a gambling addict this game is for you
1010 would recommend."
i love cs2 :3,1,i love cs2 3
i recommend this game to people who are bored of playing call of duty and want a different cool gun game its genuanly fun,1,i recommend this game to people who are bored of playing call of duty and want a different cool gun game its genuanly fun
met russian comrade met egirl loser meet everyone love counterstrike,1,met russian comrade met egirl loser meet everyone love counterstrike
"This game is full of cheaters, u can`t play this game and having fun, there is no anti-cheat, this game is not suposed to be like it was, now is piece of ♥♥♥♥ and is so disgusting when u play it. have fun those who will download and decide to play",0,this game is full of cheaters u cant play this game and having fun there is no anticheat this game is not suposed to be like it was now is piece of  and is so disgusting when u play it. have fun those who will download and decide to play
bots are only getting worse,0,bots are only getting worse
the deagle shoots wherever the ♥♥♥ it wants and the bullets do NOT enter the enemy,0,the deagle shoots wherever the  it wants and the bullets do not enter the enemy
it can make you escape matrix tho,1,it can make you escape matrix tho
"90% of players deathmatch are farming bots, its sad to see nothing is being done about it.",0,90 of players deathmatch are farming bots its sad to see nothing is being done about it.
"Cheats = Able to play
Legit players = 7day ban",0,"cheats  able to play
legit players  7day ban"
"Igra topchik, toko zashol v nee i poyavilis 2 otza(ya sirota) spasibo Geib",1,igra topchik toko zashol v nee i poyavilis 2 otzaya sirota spasibo geib
the game was perfectly fine,0,the game was perfectly fine
"Ojala los idiotas de mis compañeros en premier y faceit se supieran una puta insta smoke, dar info o saber strats basicas en vezdde correr como perras de carrera, pero bueno, el juego es bacan",1,ojala los idiotas de mis compaeros en premier y faceit se supieran una puta insta smoke dar info o saber strats basicas en vezdde correr como perras de carrera pero bueno el juego es bacan
"bland base fps game.
killstreaks are fun
like 5/10, its sorta boring and too repetitive :c",0,"bland base fps game.
killstreaks are fun
like 510 its sorta boring and too repetitive c"
